lag,lead_media,lag_media,influence,p
1,17,50,0.134054507237126,2.675907569530012e-5
1,17,64,0.005126684871068519,0.8267676647336417
1,17,66,-0.04034725289392244,0.07249330761578134
1,17,68,-0.020592881487060746,0.6144120516613791
1,17,73,0.05932713321353406,0.020877084883313076
1,17,103,0.05569266171998605,0.030901354749898944
1,17,136,0.0179023923493485,0.4053250249015268
1,17,215,0.05266243912078023,0.029377039742715414
1,17,258,0.046627396146784135,0.052983508383214424
1,17,275,-0.01594045840515541,0.6840157907424794
1,17,394,0.01988757690869564,0.3481549634510921
1,17,410,0.07484599383245388,5.271438367707006e-4
1,17,435,0.03060858584975558,0.39266758315000805
1,17,441,0.04418589439805371,0.056427421773983695
1,17,449,-6.689791615068231e-4,0.9755413847741863
1,17,467,0.03788557695308448,0.13600076244515807
1,17,490,-0.004458614120529461,0.7291604977622764
1,17,537,0.04393185567931175,0.4584857276889639
1,17,624,0.0279195021943363,0.20133586468363632
1,17,625,-0.00271078408442403,0.8166830666643594
1,17,650,0.03715110905824783,0.2521613272397701
1,17,680,0.059231449220945545,0.07849778725440044
1,17,684,0.023765214324188953,0.2283420393188601
1,17,688,-0.05341865514996988,0.0993160869615004
1,17,694,0.022639677114283357,0.17326503034290022
1,17,696,0.06009244564689842,0.012735512936381742
1,17,750,0.044834512961659405,0.020742240685855336
1,17,777,0.01774266737673484,0.6505280182328748
1,50,17,0.034418312864956585,0.1336596199599522
1,50,64,-0.03266768732941723,0.060835692366640215
1,50,66,-0.06257228960978817,7.052792569376369e-4
1,50,68,0.023280812168333602,0.4692793186057419
1,50,73,6.953284852139604e-4,0.968174781494197
1,50,103,0.016661515839945018,0.4178570119628281
1,50,136,-0.05302042056874796,0.001700139175445539
1,50,215,-0.038851569390737195,0.020400267299375476
1,50,258,-0.04238749295702867,0.04008963790777021
1,50,275,-0.01645939986642803,0.5860738995280909
1,50,394,-0.053708157241561694,0.0010045517031499205
1,50,410,-0.005089304085657655,0.7598060990845714
1,50,435,-0.002059812571985809,0.93389339549749
1,50,441,-0.012781456121340523,0.4082934143532009
1,50,449,0.017868999454449138,0.30005893814047446
1,50,467,-0.014413671251511221,0.4832918080663673
1,50,490,-0.012065915635365942,0.23270369127294635
1,50,537,-0.029622710705160173,0.4817282753045179
1,50,624,0.07185899030002423,7.469272924781363e-5
1,50,625,-0.0095571344552261,0.33264012808859267
1,50,650,-0.022912663247664406,0.3955372434448604
1,50,680,-0.04450647894906358,0.06118141581113451
1,50,684,0.0062588279570219,0.6675300823107979
1,50,688,-0.04269053665473861,0.08308467954823413
1,50,694,-0.02362494618090205,0.06313144945320856
1,50,696,-0.0474997797787249,0.014169636511296239
1,50,750,2.5101517335716694e-4,0.9889977251282671
1,50,777,-0.026949880630355527,0.38086264118692126
1,64,17,0.00384617594345499,0.8716495023266303
1,64,50,-0.049334048544622804,0.04129562987675835
1,64,66,-0.015916647764689013,0.3358581622827558
1,64,68,-0.05479371460371739,0.03571735158537666
1,64,73,-0.011290751717785118,0.4882853689140999
1,64,103,-0.015281369912482278,0.3908546971402109
