lag,lead_media,lag_media,influence,p
1,17,50,0.10048195642330449,1.3415937886791201e-5
1,17,64,0.03395994780916741,0.12204754411511089
1,17,66,-0.05190697933405576,0.019907366663901263
1,17,68,-0.022397845124776654,0.46240823427369093
1,17,73,0.1317911911003773,7.3562880340146365e-6
1,17,103,0.1865707664278876,2.2943692735954585e-9
1,17,136,-0.0024831813121276125,0.8954586697342635
1,17,215,0.1919918305659327,1.0469095929509443e-11
1,17,258,0.07594349394076262,1.1436113832310816e-4
1,17,275,0.03432191957935069,0.3292090989071398
1,17,394,0.0803836774693195,0.01112261826963704
1,17,410,0.11053323599870316,1.785258171789052e-5
1,17,435,0.03764888050619188,0.11488076887842438
1,17,441,0.06574247435602862,5.93722067794592e-4
1,17,449,0.01101384775255503,0.5544878192512994
1,17,467,0.04806197631577808,0.018767874539692652
1,17,490,0.05562491162280036,5.3995433939048994e-5
1,17,537,0.022260162783693475,0.6151755009252586
1,17,624,0.02473236002143106,0.10232326905542971
1,17,625,0.023268853423723344,0.04295444944017977
1,17,650,0.02255079297019403,0.31753539632080435
1,17,680,0.12194648652037356,2.7971320771005444e-5
1,17,684,-0.024107488791633314,0.1215986991199259
1,17,688,-0.0732292085461566,0.00860675712404106
1,17,694,0.04761390497709614,0.008220438805737609
1,17,696,0.06983449504195856,0.00105799945150484
1,17,750,0.04182895328531074,0.013079038249055973
1,17,777,0.09145725682934912,0.010699577727087073
1,50,17,0.05495871203235332,0.009086985311137167
1,50,64,-0.011051734851360124,0.45211943435630686
1,50,66,-0.026561992896947106,0.2062468064936853
1,50,68,0.019389664205674263,0.39674493771967345
1,50,73,-7.776704659021524e-5,0.9967995414404417
1,50,103,0.04569178215386784,0.043751208322921085
1,50,136,-0.023412331727469492,0.1281100096789776
1,50,215,0.011923527925986253,0.4768474561758036
1,50,258,-0.016156172017806465,0.36799235079029424
1,50,275,-0.024516053504703466,0.42319628856323066
1,50,394,-0.006699611617575942,0.7178230779227956
1,50,410,-4.227942947063218e-5,0.9980111600062476
1,50,435,0.0026023866157267686,0.9023929731633267
1,50,441,0.0015627828783959287,0.9229502664908724
1,50,449,-4.012448999497923e-4,0.9797733183619178
1,50,467,-0.029695824390522832,0.1033510677642854
1,50,490,-0.023287383453811632,0.03485672247217986
1,50,537,-0.013673591548929928,0.7130032389036234
1,50,624,0.057679377906556986,5.8116879542364285e-5
1,50,625,-0.01616296664964254,0.08513985355913273
1,50,650,-0.02663024708982328,0.20684739139689523
1,50,680,-9.50123187864999e-4,0.9606103998258755
1,50,684,-0.007289571022323952,0.5960568140102989
1,50,688,-0.08488697797016531,2.2832989267036478e-4
1,50,694,-0.021287313650708947,0.08300168946397321
1,50,696,-0.005579116266433096,0.7577332866950199
1,50,750,0.009467171893210223,0.5851822439887961
1,50,777,0.035128898388923815,0.2411927235080111
1,64,17,0.03147705243007863,0.36601816681972854
1,64,50,-0.01795420871826423,0.3433978206132674
1,64,66,-0.030853443604367738,0.07121608320611572
1,64,68,-0.0175303210246845,0.48531673964748
1,64,73,-0.0028424419346152097,0.8939331518127144
1,64,103,0.0165517975827276,0.5033412227768661
1,64,136,0.08501123952661711,1.4698574601655764e-7
1,64,215,0.040066722954322884,0.026948107718006303
1,64,258,0.031532916730112104,0.09566682464496054
1,64,275,0.06316742295694526,0.021925385975250882
