lag,lead_media,lag_media,influence,p
1,17,50,0.05539752887003182,0.0030814807380911942
1,17,64,0.004466189833985746,0.8387042277761906
1,17,66,-0.016892978502603236,0.1870720185111483
1,17,68,0.006904222038591187,0.7186509645595045
1,17,73,0.09140503379610515,0.001010370143238157
1,17,103,0.07289751771993644,0.0042624049228993455
1,17,136,-0.028647648071413723,0.24079358808720439
1,17,215,0.07211374381372115,0.0027161392363975654
1,17,258,0.002829954602474781,0.8795209007840727
1,17,275,-0.030530068243151742,0.5479983369545844
1,17,394,0.0013266521911641438,0.9676257634437707
1,17,410,0.09199694993592575,2.879498285608407e-5
1,17,435,0.03084092484247017,0.2530198077018119
1,17,441,0.04501809378064337,0.0023148303627599565
1,17,449,0.029702821958230846,0.04100609102257895
1,17,467,0.006378142018384022,0.7594282903443177
1,17,490,-0.10259067249347008,6.046693498009217e-5
1,17,537,-0.09984231275897926,0.06664383394138504
1,17,624,-0.007895932736250657,0.5149159200664613
1,17,625,-0.04690396538755691,0.045000755487161766
1,17,650,0.05143661788210987,0.0093570181377347
1,17,680,0.05560644036441319,0.006146838147399339
1,17,684,-0.013997708544366216,0.12670749948234478
1,17,688,-0.07656562764157608,0.0015009232100296893
1,17,694,-0.10939488770281572,1.1231019439042901e-5
1,17,696,0.021003845259231907,0.2995534252246686
1,17,750,0.004179875445440645,0.7696660597000397
1,17,777,-0.03572708426354722,0.18452098914078804
1,50,17,0.044738384889076416,0.05319923013630398
1,50,64,-0.08786640766388386,4.179556558199813e-8
1,50,66,0.008629326393618516,0.2919553473205699
1,50,68,0.005580165481780499,0.6770192950172025
1,50,73,0.03545328841124136,0.045754689583959535
1,50,103,-0.0012655497697602795,0.946077307614851
1,50,136,-0.09435715353123794,6.895639720770079e-7
1,50,215,-0.025453453738556994,0.1586444084506204
1,50,258,-0.003172052861580472,0.824797925262122
1,50,275,-8.73707823894946e-4,0.9887482989692173
1,50,394,-0.11205902843286931,1.2303678153465656e-6
1,50,410,0.018251331602561312,0.2554559655070564
1,50,435,-0.029853540720752133,0.12421818905980263
1,50,441,0.019515972419375128,0.12211103711717941
1,50,449,0.003907428981813394,0.7517831095465322
1,50,467,-8.592996353210873e-4,0.9603924213363673
1,50,490,-0.1076871554852768,5.315391369622706e-8
1,50,537,-0.1958412964264995,9.813878433380566e-9
1,50,624,0.09176147963967368,1.425932865595307e-6
1,50,625,-0.10706620943779895,1.2645355211998117e-8
1,50,650,0.030128443139064418,0.10025534100920994
1,50,680,0.015476926977140463,0.2851179287129235
1,50,684,0.01764350293027766,0.09185555081570647
1,50,688,-0.09021336362781371,5.623641991772324e-6
1,50,694,-0.12337831612622659,1.268392113015161e-9
1,50,696,-0.02592933126126014,0.13510113668859286
1,50,750,0.0220331228307527,0.059252131255752134
1,50,777,-0.03457921010109532,0.18288497713268262
1,64,17,-0.02149595272957273,0.07530327785799293
1,64,50,-0.030785498617812983,4.892708812732296e-4
1,64,66,-0.0028565143177553803,0.6206305352297654
1,64,68,-0.030562869788446273,0.002178183252799137
1,64,73,-0.04172981623346951,5.705480332972248e-4
1,64,103,-0.029269719937007534,0.015784267187253686
1,64,136,0.10340241408340374,2.938145803753047e-12
1,64,215,0.04161157507094323,0.002291056149424049
1,64,258,-0.0039186691930020705,0.6599967161561541
1,64,275,0.13033564912387036,2.8985334684666186e-5
1,64,394,-0.006463795730711407,0.6920920126480167
1,64,410,-0.04959793158902006,1.1743150620408328e-6
1,64,435,0.023555582249596276,0.1088148752412147
1,64,441,-0.007891653209438404,0.3167753135149484
1,64,449,-0.016428463937970855,0.034243955777909674
1,64,467,-0.02077317537841947,0.03212107251414659
1,64,490,0.03491456208059924,0.02220412075292869
1,64,537,0.10522824707819764,0.0011937165674545318
1,64,624,-0.029593316510119684,2.3419830777348664e-6
1,64,625,0.04414739079451969,0.0024989168736287977
1,64,650,-0.02080527956535365,0.018169068294873563
1,64,680,-0.0159610462193682,0.10428721350066382
1,64,684,-0.011168284239269242,0.0619223676066189
1,64,688,0.0010407723189894843,0.9405798055213979
1,64,694,0.10776709753843998,3.306238813715046e-10
1,64,696,-0.005988747996941235,0.5822965566498876
1,64,750,-0.018429881594403626,0.009995353824118995
1,64,777,0.009934228448444568,0.49143114930383514
1,66,17,-0.025866191033710965,0.535760865978269
1,66,50,0.0538790257095219,0.14959085752741558
1,66,64,-0.12537280912681117,0.0018613576419706354
1,66,68,0.07324334924492035,0.11756801962156611
1,66,73,0.05363645369204364,0.24909959408745969
1,66,103,0.06915753603363105,0.12852859814644976
1,66,136,-0.10372101926066131,0.009750008985993427
1,66,215,-0.11725727693518213,0.005174694510444817
1,66,258,-0.04182430402654675,0.2738513310169661
1,66,275,-0.10427581102362803,0.18419461884917057
1,66,394,-0.03345629055059363,0.5501965144049107
1,66,410,-0.04091373244823725,0.32473258583916886
1,66,435,-0.0021986211531915506,0.9607622543985853
1,66,441,0.06915658902307503,0.02435508158752386
1,66,449,-0.052211381208992935,0.1516339473157462
1,66,467,0.014865907157843184,0.7057046090665515
1,66,490,-0.021436728065779703,0.6486873190042807
1,66,537,-0.13825880584950498,0.19774939182363674
1,66,624,0.024216125060247614,0.40574370151947403
1,66,625,-0.022365087742242003,0.5952771816091632
1,66,650,-0.005983965884025261,0.8955307503506331
1,66,680,-0.019432627064140066,0.6145170944846599
1,66,684,0.020594049372805123,0.39760964652869824
1,66,688,-0.035843015014067434,0.48811904146442553
1,66,694,-0.060868986158089035,0.24019078094215432
1,66,696,-0.05220059114066892,0.17918123711424097
1,66,750,0.06864443625101387,0.02087973158580582
1,66,777,-0.07897068188345051,0.25761484996413014
1,68,17,-0.0013471445565246597,0.9557898424821486
1,68,50,0.030391088363867606,0.07499794915851775
1,68,64,-0.04729768742491632,0.017917049911962118
1,68,66,0.022365756357015484,0.04658953638887653
1,68,73,0.044666518689960036,0.06679573615725731
1,68,103,0.018680491712573737,0.4262979988789891
1,68,136,-0.05061098737094427,0.025351702900296536
1,68,215,-0.039553550560510534,0.0737365802260885
1,68,258,0.01294870336807957,0.45701934319852744
1,68,275,0.04040844966910202,0.40838987747875555
1,68,394,-0.09827947817517417,2.632117177764303e-4
1,68,410,0.0016287532150522277,0.9367680338279905
1,68,435,-0.010861248259881929,0.6230215988013783
1,68,441,0.03405843362967848,0.010420144215074194
1,68,449,-0.030595624938987164,0.05053083147751014
1,68,467,0.019002842458791434,0.34696425022307276
1,68,490,-0.07840277894323106,8.448020240091181e-4
1,68,537,-0.1213100569495422,0.003508741837944583
1,68,624,0.011981228188342536,0.320041026319914
1,68,625,-0.051136846077702795,0.01301436565125741
1,68,650,0.052121682310720764,0.012255651310117466
1,68,680,0.03203667902613798,0.11879419375209914
1,68,684,-0.001047497921210999,0.9209508545606879
1,68,688,-0.035959111670385374,0.15377522220403642
1,68,694,-0.07105447503735185,0.0010973485862139126
1,68,696,0.007135721361468688,0.7048899210292081
1,68,750,0.008999224960340522,0.505527805400818
1,68,777,-0.04110631840677568,0.1225211148919799
1,73,17,0.09575220604577608,6.395590908731736e-4
1,73,50,0.014862487547906426,0.4425371733501958
1,73,64,-0.054786302497413925,0.013725998645323008
1,73,66,-0.011311214261868586,0.3588786274601238
1,73,68,0.02170195517977192,0.29996060568103955
1,73,103,0.04667495214961767,0.07505113575493536
1,73,136,-0.05813756075904698,0.011694298884803177
1,73,215,0.027657304996207617,0.2608983091678693
1,73,258,-0.002361709874965825,0.8923137786194367
1,73,275,0.020617906246238188,0.6940461115941889
1,73,394,-0.10559782854153185,0.0018829915872779852
1,73,410,0.0760255773404727,4.773592252644328e-4
1,73,435,-0.05247424515631984,0.043340933890315375
1,73,441,0.055430692643979484,1.2608410804697888e-4
1,73,449,0.005568722212017275,0.6996688512078102
1,73,467,0.023106261293959738,0.27499912915204566
1,73,490,-0.10262826209494312,1.050595100167678e-4
1,73,537,-0.008384856621420885,0.8629684840594005
1,73,624,-0.018904798866158822,0.1032712874961446
1,73,625,-0.09916243751603424,1.540747870944506e-5
1,73,650,0.015225285490097324,0.4263683242447729
1,73,680,0.06465499250234359,0.0024734529438966537
1,73,684,-0.014819879964864738,0.1225348931034564
1,73,688,-0.06841433384237196,0.007312789582356317
1,73,694,-0.1310923109152224,1.0816263899485389e-7
1,73,696,0.0021238574112523315,0.920934326996587
1,73,750,0.006847841383319069,0.628950767652096
1,73,777,-0.05806935112585829,0.028951770356774285
1,103,17,0.0589269920558862,0.011809610057834293
1,103,50,0.0528649863059536,0.0011617648498673824
1,103,64,-0.036430859440701686,0.07795402976308763
1,103,66,0.010687297138849873,0.22509063597325726
1,103,68,0.0013768681089777334,0.9301371870686256
1,103,73,0.04995417555205981,0.04424329941909736
1,103,136,-0.0487438118636813,0.01860387254714345
1,103,215,-0.001075035519834698,0.9608418598090023
1,103,258,0.007853628684976742,0.6217244229701973
1,103,275,-0.009905352831062421,0.8203743232626898
1,103,394,0.022598758862365523,0.4541257493393912
1,103,410,0.05281518563435277,0.00634709081785622
1,103,435,0.03927469101818759,0.08813185554502616
1,103,441,0.03243165067469512,0.00901768350993262
1,103,449,0.017979219186172915,0.17921788425467497
1,103,467,0.03438341003094863,0.05486028162093624
1,103,490,-0.10578982289818913,1.2510452422259997e-5
1,103,537,-0.023950536684331464,0.588041057149548
1,103,624,0.0118550127556486,0.3512868715285856
1,103,625,-0.033951135908802575,0.11316178019033991
1,103,650,0.036526759889106336,0.022974925804879386
1,103,680,0.041351358645316486,0.018203350615288053
1,103,684,0.01550911609327082,0.08506501764707647
1,103,688,-0.03208360022947635,0.19824924282923503
1,103,694,-0.10633987189286459,4.933145318776511e-6
1,103,696,0.04315497674870396,0.018508603485969735
1,103,750,0.01055375035245658,0.3713840129840149
1,103,777,-0.023217256309291466,0.3563437779579688
1,136,17,-0.05174401493410488,4.183511660207119e-4
1,136,50,-0.03251953703320376,0.0036916236938035786
1,136,64,0.04972302745007379,0.0013896472550691524
1,136,66,-0.018497240974502012,0.004778695172535095
1,136,68,-0.022871923635499926,0.02208494408875625
1,136,73,-0.03855653634258194,0.0043735719108265025
1,136,103,-0.04477922450339416,0.001117493909125947
1,136,215,0.012230765216063113,0.4481782716707807
1,136,258,-0.012660030562305441,0.18992211684828922
1,136,275,0.038484324062488404,0.2515199714744857
1,136,394,-0.02447309925619337,0.15772267246730962
1,136,410,-0.06636002246495805,2.066696413352849e-10
1,136,435,0.003761033519388333,0.7958334359246638
1,136,441,-0.012975251378417934,0.1671419525007637
1,136,449,-0.019213136934184527,0.0330272526840123
1,136,467,-0.054413917486548266,8.741353299378285e-8
1,136,490,-0.018465684168462393,0.2441230957728242
1,136,537,0.027866742475310374,0.3823827250150995
1,136,624,-0.027110578058534555,1.7671964285748167e-4
1,136,625,-8.801597914259085e-4,0.9504020050312818
1,136,650,-0.03560082229686684,8.054597658449426e-4
1,136,680,-0.043299261979571874,7.787014495417877e-5
1,136,684,-0.014824091642904892,0.02585421569133091
